time,depth
2023-08-11 16:57:27.277163,496.74757003605873
2023-08-11 16:57:30.276106,495.8240799630935
2023-08-11 16:57:33.288034,493.1956851400385
2023-08-11 16:57:36.293041,490.9935165045059
2023-08-11 16:57:39.277018,489.0399798116948
2023-08-11 16:57:42.277037,487.157480816804
2023-08-11 16:57:44.287659,486.26950959279895
2023-08-11 16:57:46.277308,485.2394629729531
2023-08-11 16:57:48.287941,483.6766336187042
2023-08-11 16:57:50.278605,481.72309692589306
2023-08-11 16:57:53.276615,479.62748483724107
2023-08-11 16:57:57.287842,478.4198439725942
2023-08-11 16:58:00.286835,476.2176753370617
2023-08-11 16:58:03.276867,473.83791245672813
2023-08-11 16:58:06.276827,471.8133380659965
2023-08-11 16:58:09.287773,469.966357920066
2023-08-11 16:58:12.288717,468.68767935749867
2023-08-11 16:58:14.277397,467.58659503973246
2023-08-11 16:58:16.278078,466.1303222323641
2023-08-11 16:58:18.276731,464.6030117270754
2023-08-11 16:58:20.288347,463.07570122178674
2023-08-11 16:58:22.288984,461.83254150817965
2023-08-11 16:58:25.277006,459.807967117448
2023-08-11 16:58:28.276953,458.3161754611196
2023-08-11 16:58:31.287914,455.4746675443034
2023-08-11 16:58:35.286253,452.34900883580553
2023-08-11 16:58:38.276236,451.10584912219844
2023-08-11 16:58:41.276184,448.0867469605812
2023-08-11 16:58:44.286133,445.6714652312874
2023-08-11 16:58:47.287151,444.0020793301579
2023-08-11 16:58:50.276115,442.0130237883866
2023-08-11 16:58:53.276106,439.59774205909275
2023-08-11 16:58:56.286053,437.71524306420207
2023-08-11 16:58:59.289049,435.33548018386847
2023-08-11 16:59:01.277700,434.23439586610226
2023-08-11 16:59:03.276382,431.8191141368084
2023-08-11 16:59:05.277031,430.0076528398381
2023-08-11 16:59:07.287634,429.2972758606341
2023-08-11 16:59:10.286604,426.5268056417383
2023-08-11 16:59:13.276606,423.96944851660373
2023-08-11 16:59:16.276611,421.2344971466681
2023-08-11 16:59:19.287529,419.28096045385695
2023-08-11 16:59:22.287535,416.3328959901602
2023-08-11 16:59:25.276522,413.8820954119061
2023-08-11 16:59:28.276514,411.11162519301035
2023-08-11 16:59:31.287460,409.12256965123896
2023-08-11 16:59:34.287437,407.09799526050745
2023-08-11 16:59:37.276415,404.5051192864127
2023-08-11 16:59:40.276373,401.87672446335773
2023-08-11 16:59:43.287374,400.49148935390974
2023-08-11 16:59:46.286314,398.85762230174043
2023-08-11 16:59:49.277344,396.8330479110089
2023-08-11 16:59:52.275330,395.1636620098794
2023-08-11 16:59:55.286272,393.35220071290905
2023-08-11 16:59:58.287243,391.00795668153575
2023-08-11 17:00:01.276234,389.125457686645
2023-08-11 17:00:04.277210,387.3495152386348
2023-08-11 17:00:07.287170,386.49706286359
2023-08-11 17:00:10.286150,384.96975235830126
2023-08-11 17:00:13.277121,382.6965460248483
2023-08-11 17:00:16.276102,381.34682976436056
2023-08-11 17:00:19.287046,380.1036700507536
2023-08-11 17:00:22.286055,378.3632464517036
2023-08-11 17:00:25.276056,376.33867206097204
2023-08-11 17:00:28.276003,374.7403238577629
2023-08-11 17:00:31.287973,373.177494503514
2023-08-11 17:00:34.287952,371.9698536388671
2023-08-11 17:00:37.275917,369.9807980970958
2023-08-11 17:00:40.276930,368.16933680012545
2023-08-11 17:00:43.287863,365.96716816459286
2023-08-11 17:00:45.287485,364.937121544747
2023-08-11 17:00:47.277178,364.1557068676226
2023-08-11 17:00:49.276831,363.1256602477767
2023-08-11 17:00:51.277462,361.74042513832876
2023-08-11 17:00:53.288115,359.89344499239826
2023-08-11 17:00:55.287783,358.5082098829504
2023-08-11 17:00:57.276436,357.19401247142287
2023-08-11 17:00:59.278109,355.66670196613416
2023-08-11 17:01:01.277716,353.74868412228324
