time,depth
2023-06-26 23:58:35.018728,31.873125599999998
2023-06-26 23:58:36.119492,31.873125599999998
2023-06-26 23:58:36.529770,31.873125599999998
2023-06-26 23:58:36.920061,31.873125599999998
2023-06-26 23:58:37.319380,31.873125599999998
2023-06-26 23:58:37.619556,31.907683199999997
2023-06-26 23:58:38.018847,31.907683199999997
2023-06-26 23:58:38.431147,31.907683199999997
2023-06-26 23:58:38.819422,31.942240800000004
2023-06-26 23:58:39.229740,31.942240800000004
2023-06-26 23:58:39.620012,31.942240800000004
2023-06-26 23:58:40.019276,31.942240800000004
2023-06-26 23:58:40.419567,31.942240800000004
2023-06-26 23:58:40.818840,31.942240800000004
2023-06-26 23:58:41.220125,31.942240800000004
2023-06-26 23:58:41.629419,31.942240800000004
2023-06-26 23:58:42.018707,31.942240800000004
2023-06-26 23:58:42.420008,31.942240800000004
2023-06-26 23:58:42.819258,31.942240800000004
2023-06-26 23:58:43.219561,31.942240800000004
2023-06-26 23:58:43.618839,31.942240800000004
2023-06-26 23:58:43.920065,31.942240800000004
2023-06-26 23:58:44.319345,31.907683199999997
2023-06-26 23:58:44.718590,31.907683199999997
2023-06-26 23:58:45.118925,31.907683199999997
2023-06-26 23:58:45.520206,31.873125599999998
2023-06-26 23:58:45.919523,31.873125599999998
2023-06-26 23:58:46.318771,31.873125599999998
2023-06-26 23:58:46.630022,31.873125599999998
2023-06-26 23:58:47.020277,31.907683199999997
2023-06-26 23:58:47.419554,31.907683199999997
2023-06-26 23:58:47.818830,31.907683199999997
2023-06-26 23:58:48.220127,31.907683199999997
2023-06-26 23:58:48.632433,31.907683199999997
2023-06-26 23:58:49.018679,31.907683199999997
2023-06-26 23:58:49.431032,31.873125599999998
2023-06-26 23:58:49.819283,31.873125599999998
2023-06-26 23:58:50.219551,31.873125599999998
2023-06-26 23:58:50.618797,31.873125599999998
2023-06-26 23:58:51.020155,31.838568
2023-06-26 23:58:51.419420,31.838568
2023-06-26 23:58:51.828663,31.838568
2023-06-26 23:58:52.219965,31.838568
2023-06-26 23:58:52.620296,31.873125599999998
2023-06-26 23:58:53.019537,31.873125599999998
2023-06-26 23:58:53.418835,31.7694528
2023-06-26 23:58:53.820112,31.492992
2023-06-26 23:58:54.219414,31.216531200000002
2023-06-26 23:58:54.618687,30.9055128
2023-06-26 23:58:55.019939,30.767282400000003
2023-06-26 23:58:55.420256,30.663609600000004
2023-06-26 23:58:55.819508,30.594494400000002
2023-06-26 23:58:56.218838,30.594494400000002
2023-06-26 23:58:56.520044,30.456264
2023-06-26 23:58:56.930347,30.4908216
2023-06-26 23:58:57.319616,30.698167200000004
2023-06-26 23:58:57.718903,30.698167200000004
2023-06-26 23:58:58.020105,30.8363976
2023-06-26 23:58:58.419363,31.147416000000003
2023-06-26 23:58:58.828669,31.3547616
2023-06-26 23:58:59.218971,31.66578
2023-06-26 23:58:59.531179,31.7348952
2023-06-26 23:58:59.919472,31.7003376
2023-06-26 23:59:00.318758,31.7003376
2023-06-26 23:59:00.719055,31.66578
2023-06-26 23:59:01.120319,31.66578
2023-06-26 23:59:01.519606,31.66578
2023-06-26 23:59:01.929850,31.562107200000003
2023-06-26 23:59:02.320143,31.66578
2023-06-26 23:59:02.719471,31.7003376
2023-06-26 23:59:03.118752,31.66578
2023-06-26 23:59:03.519039,31.66578
2023-06-26 23:59:03.919327,31.7348952
